#x_m,y_m,w_tr
-42.846799,2.930030,1.712624
-42.881567,2.981358,1.731719
-42.916335,3.032686,1.693528
-42.951104,3.084015,1.712624
-42.991725,3.132918,1.712624
-43.026494,3.184246,1.731719
-43.061262,3.235574,1.731719
-43.099388,3.285511,1.712624
-43.136645,3.335808,1.712624
-43.171413,3.387137,1.731719
-43.206181,3.438465,1.693528
-43.240949,3.489793,1.712624
-43.281572,3.538696,1.712624
-43.316340,3.590024,1.731719
-43.351108,3.641352,1.731719
-43.389242,3.691286,1.712624
-43.426492,3.741586,1.712624
-43.461260,3.792914,1.731719
-43.496028,3.844243,1.693528
-43.530796,3.895571,1.712624
-43.571419,3.944474,1.712624
-43.606187,3.995802,1.731719
-43.640955,4.047130,1.731719
-43.679097,4.097061,1.712624
-43.716339,4.147364,1.712624
-43.751107,4.198692,1.731719
-43.785875,4.250020,1.693528
-43.820643,4.301348,1.712624
-43.861266,4.350251,1.712624
-43.896034,4.401580,1.731719
-43.930802,4.452908,1.731719
-43.968952,4.502835,1.712624
-44.006185,4.553142,1.712624
-44.040953,4.604470,1.731719
-44.075722,4.655798,1.693528
-44.110490,4.707126,1.712624
-44.151113,4.756029,1.712624
-44.185881,4.807357,1.731719
-44.220649,4.858685,1.731719
-44.258806,4.908610,1.712624
-44.296032,4.958920,1.712624
-44.330800,5.010248,1.731719
-44.365568,5.061576,1.693528
-44.400336,5.112904,1.712624
-44.440959,5.161807,1.712624
-44.475727,5.213135,1.731719
-44.510496,5.264463,1.731719
-44.548661,5.314384,1.712624
-44.585879,5.364698,1.712624
-44.620647,5.416026,1.731719
-44.655415,5.467354,1.693528
-44.690183,5.518682,1.712624
-44.730806,5.567585,1.712624
-44.765574,5.618913,1.731719
-44.800342,5.670241,1.731719
-44.838515,5.720159,1.712624
-44.879138,5.769062,1.712624
-44.917989,5.818699,1.731719
-44.952757,5.870027,1.731719
-44.987525,5.921355,1.712624
-45.028148,5.970258,1.712624
-45.062916,6.021586,1.731719
-45.097684,6.072914,1.731719
-45.132452,6.124242,1.712624
-45.165572,6.176253,1.712624
-45.200341,6.227581,1.731719
-45.235109,6.278909,1.693528
-45.269877,6.330237,1.712624
-45.310500,6.379140,1.712624
-45.345268,6.430469,1.731719
-45.380036,6.481797,1.731719
-45.418224,6.531708,1.712624
-45.458847,6.580611,1.712624
-45.497682,6.630254,1.731719
-45.532451,6.681583,1.731719
-45.567219,6.732911,1.712624
-45.607842,6.781814,1.712624
-45.642610,6.833142,1.731719
-45.677378,6.884470,1.731719
-45.712146,6.935798,1.712624
-45.748702,6.986386,1.712624
-45.787529,7.036032,1.731719
-45.822297,7.087360,1.731719
-45.857065,7.138689,1.712624
-45.897688,7.187591,1.712624
-45.932457,7.238920,1.731719
-45.967225,7.290248,1.731719
-46.001993,7.341576,1.712624
-46.038557,7.392160,1.712624
-46.077376,7.441810,1.731719
-46.112144,7.493138,1.731719
-46.146912,7.544466,1.712624
-46.187535,7.593369,1.712624
-46.222303,7.644697,1.731719
-46.257071,7.696026,1.731719
-46.291840,7.747354,1.712624
-46.324960,7.799364,1.712624
-46.359728,7.850693,1.731719
-46.394496,7.902021,1.693528
-46.429264,7.953349,1.712624
-46.469887,8.002252,1.712624
-46.504655,8.053580,1.731719
-46.539423,8.104908,1.731719
-46.577643,8.154806,1.712624
-46.618266,8.203709,1.712624
-46.657070,8.253366,1.731719
-46.691838,8.304694,1.731719
-46.726606,8.356022,1.712624
-46.767229,8.404925,1.712624
-46.801997,8.456253,1.731719
-46.836765,8.507581,1.731719
-46.871533,8.558909,1.712624
-46.904653,8.610920,1.712624
-46.939421,8.662248,1.731719
-46.974189,8.713576,1.693528
-47.008957,8.764904,1.712624
-47.049580,8.813807,1.712624
-47.084349,8.865135,1.731719
-47.119117,8.916464,1.731719
-47.157352,8.966355,1.712624
-47.194500,9.016698,1.712624
-47.229268,9.068026,1.731719
-47.264036,9.119354,1.693528
-47.297825,9.171088,1.712624
-47.332593,9.222416,1.693528
-47.367361,9.273744,1.731719
-47.402129,9.325072,1.731719
-47.440372,9.374961,1.712624
-47.477513,9.425306,1.731719
-47.512281,9.476634,1.731719
-47.548028,9.527557,1.712624
-47.587664,9.576869,1.731719
-47.622432,9.628197,1.693528
-47.657200,9.679525,1.731719
-47.691968,9.730853,1.712624
-47.725088,9.782864,1.731719
-47.759857,9.834192,1.731719
-47.794625,9.885520,1.712624
-47.827745,9.937531,1.731719
-47.862513,9.988859,1.731719
-47.897281,10.040187,1.712624
-47.931910,10.091573,1.712624
-47.965954,10.143201,1.693528
-48.000722,10.194529,1.731719
-48.035490,10.245857,1.712318
-48.068610,10.297868,1.731719
-48.103378,10.349196,1.712624
