#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
47.5896846,-57.3818250,28.2047801,2.0778295,-0.0005624,8.4999676,-0.0000010
47.7896413,-57.4789123,28.3795856,2.0777299,-0.0004267,8.4999676,-0.0000010
47.9895979,-57.5759848,28.5543993,2.0776620,-0.0002441,8.4999676,-0.0000010
48.1895546,-57.6730489,28.7292175,2.0776359,-0.0000078,8.4999676,-0.0000011
48.3895112,-57.7701129,28.9040357,2.0776630,0.0002890,8.4999675,-0.0000011
48.5894679,-57.8671870,29.0788481,2.0777560,0.0006530,8.4999675,-0.0000011
48.7894245,-57.9642842,29.2536475,2.0779291,0.0010908,8.4999675,-0.0000011
48.9893812,-58.0614196,29.4284255,2.0781976,0.0016086,8.4999675,-0.0000011
49.1893379,-58.1586115,29.6031720,2.0785781,0.0022116,8.4999674,-0.0000011
49.3892945,-58.2558808,29.7778753,2.0790881,0.0029042,8.4999674,-0.0000011
49.5892512,-58.3532517,29.9525218,2.0797458,0.0036890,8.4999674,-0.0000010
49.7892078,-58.4507517,30.1270962,2.0805697,0.0045670,8.4999674,-0.0000010
49.9891645,-58.5484114,30.3015812,2.0815785,0.0055367,8.4999673,-0.0000009
50.1891212,-58.6462643,30.4759577,2.0827899,0.0065937,8.4999673,-0.0000009
50.3890778,-58.7443473,30.6502048,2.0842209,0.0077301,8.4999673,-0.0000008
50.5890345,-58.8426996,30.8242999,2.0858860,0.0089342,8.4999673,-0.0000007
50.7889911,-58.9413630,30.9982189,2.0877973,0.0101897,8.4999673,-0.0000006
50.9889478,-59.0403805,31.1719364,2.0899630,0.0114752,8.4999673,-0.0000006
51.1889044,-59.1397964,31.3454262,2.0923863,0.0127640,8.4999672,-0.0000006
51.3888611,-59.2396545,31.5186618,2.0950649,0.0140239,8.4999672,-0.0000008
51.5888178,-59.3399978,31.6916167,2.0979890,0.0152169,8.4999672,-0.0000011
51.7887744,-59.4408663,31.8642659,2.1011410,0.0163006,8.4999672,-0.0000018
51.9887311,-59.5422964,32.0365857,2.1044944,0.0172292,8.4999671,-0.0000028
52.1886877,-59.6443185,32.2085557,2.1080135,0.0179569,8.4999671,-0.0000039
52.3886444,-59.7469564,32.3801590,2.1116540,0.0184441,8.4999670,-0.0000030
52.5886010,-59.8502251,32.5513835,2.1153647,0.0186623,8.4999669,-0.0000005
52.7885577,-59.9541306,32.7222224,2.1190910,0.0186036,8.4999669,-0.0000004
52.9885144,-60.0586702,32.8926755,2.1227812,0.0183008,8.4999669,-0.0000003
53.1884710,-60.1638318,33.0627456,2.1263893,0.0177932,8.4999669,-0.0000000
53.3884277,-60.2695976,33.2324387,2.1299097,0.0174059,8.4999669,0.0000003
53.5883843,-60.3759508,33.4017611,2.1333288,0.0167600,8.4999669,0.0000007
53.7883410,-60.4828702,33.5707288,2.1365781,0.0157728,8.4999669,0.0000008
53.9882977,-60.5903244,33.7393584,2.1396721,0.0151837,8.4999669,0.0000008
54.1882543,-60.6982899,33.9076602,2.1426568,0.0146891,8.4999669,0.0000008
54.3882110,-60.8067503,34.0756440,2.1455614,0.0143896,8.4999670,0.0000008
54.5881676,-60.9156943,34.2433145,2.1484277,0.0143120,8.4999670,0.0000008
54.7881243,-61.0251187,34.4106721,2.1513039,0.0144955,8.4999670,0.0000009
54.9880809,-61.1350286,34.5777113,2.1542448,0.0149645,8.4999670,0.0000010
55.1880376,-61.2454389,34.7444205,2.1573094,0.0157359,8.4999670,0.0000012
55.3879943,-61.3563741,34.9107809,2.1605589,0.0168163,8.4999671,0.0000015
55.5879509,-61.4678691,35.0767670,2.1640551,0.0182031,8.4999671,0.0000018
55.7879076,-61.5799684,35.2423458,2.1678580,0.0198830,8.4999671,0.0000022
55.9878642,-61.6927260,35.4074772,2.1720242,0.0218321,8.4999672,0.0000026
56.1878209,-61.8062040,35.5721146,2.1766043,0.0240156,8.4999673,0.0000030
56.3877776,-61.9204719,35.7362049,2.1816408,0.0263876,8.4999673,0.0000032
56.5877342,-62.0356044,35.8996898,2.1871659,0.0288910,8.4999674,0.0000030
56.7876909,-62.1516797,36.0625069,2.1931993,0.0314585,8.4999675,0.0000023
56.9876475,-62.2687768,36.2245905,2.1997465,0.0340117,8.4999675,0.0000005
57.1876042,-62.3869734,36.3858742,2.2067957,0.0364586,8.4999675,-0.0000026
57.3875608,-62.5063422,36.5462921,2.2143152,0.0386926,8.4999675,-0.0000069
57.5875175,-62.6269478,36.7057822,2.2222510,0.0405988,8.4999673,-0.0000093
57.7874742,-62.7488433,36.8642884,2.2305264,0.0420678,8.4999671,-0.0000046
57.9874308,-62.8720667,37.0217645,2.2390439,0.0430025,8.4999670,0.0000013
58.1873875,-62.9966384,37.1781761,2.2476894,0.0433465,8.4999670,0.0000009
