#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
191.9726065,-18.0261561,-31.8089773,2.8033246,-0.0127629,8.4999676,0.0000011
192.1725779,-18.2147215,-31.7423377,2.8002886,-0.0177247,8.4999676,0.0000030
192.3725494,-18.4030502,-31.6750291,2.7962115,-0.0231739,8.4999677,0.0000059
192.5725209,-18.5910622,-31.6068484,2.7909948,-0.0291082,8.4999678,0.0000102
192.7724923,-18.7786680,-31.5375754,2.7845423,-0.0355159,8.4999681,0.0000160
192.9724638,-18.9657682,-31.4669737,2.7767615,-0.0423726,8.4999684,0.0000234
193.1724353,-19.1522523,-31.3947920,2.7675672,-0.0496673,8.4999690,0.0000317
193.3724067,-19.3379976,-31.3207647,2.7568594,-0.0574828,8.4999697,0.0000368
193.5723782,-19.5228671,-31.2446121,2.7445665,-0.0655439,8.4999706,0.0000327
193.7723497,-19.7067656,-31.1660270,2.7306711,-0.0735026,8.4999714,0.0000168
193.9723211,-19.8895107,-31.0847403,2.7151986,-0.0812758,8.4999718,-0.0000091
194.1722926,-20.0709109,-31.0004970,2.6982052,-0.0886584,8.4999716,-0.0000438
194.3722640,-20.2507879,-30.9130543,2.6797837,-0.0955001,8.4999705,-0.0000840
194.5722355,-20.4289599,-30.8221963,2.6600554,-0.1016778,8.4999685,-0.0001237
194.7722070,-20.6052443,-30.7277387,2.6391631,-0.1071051,8.4999656,-0.0001535
194.9721784,-20.7794604,-30.6295322,2.6172649,-0.1117175,8.4999620,-0.0001628
195.1721499,-20.9514335,-30.5274641,2.5945285,-0.1154981,8.4999582,-0.0001451
195.3721214,-21.1209923,-30.4214615,2.5711278,-0.1183391,8.4999548,-0.0000964
195.5720928,-21.2879875,-30.3114837,2.5472348,-0.1205992,8.4999525,-0.0000544
195.7720643,-21.4522478,-30.1975270,2.5227771,-0.1242607,8.4999512,-0.0000376
195.9720358,-21.6136051,-30.0795714,2.4979794,-0.1229125,8.4999504,-0.0000183
196.1720072,-21.7720180,-29.9576794,2.4735822,-0.1212151,8.4999499,0.0000199
196.3719787,-21.9275425,-29.8318776,2.4493301,-0.1211809,8.4999504,0.0001500
196.5719502,-22.0799588,-29.7023588,2.4251599,-0.1204909,8.4999539,0.0005793
196.7719216,-22.2291919,-29.5692197,2.4011171,-0.1199304,8.4999675,0.0008209
196.9718931,-22.3751717,-29.4325572,2.3772003,-0.1193103,8.4999869,-0.0004201
197.1718646,-22.5178359,-29.2924657,2.3534034,-0.1187685,8.4999770,-0.0014303
197.3718360,-22.6571232,-29.1490372,2.3297059,-0.1183298,8.4999433,-0.0008620
197.5718075,-22.7929737,-29.0023595,2.3060854,-0.1179768,8.4999230,0.0001830
197.7717790,-22.9253272,-28.8525175,2.2825237,-0.1177060,8.4999274,0.0007583
197.9717504,-23.0541520,-28.6995590,2.2589943,-0.1175880,8.4999452,0.0006148
198.1717219,-23.1793349,-28.5436247,2.2354827,-0.1175797,8.4999597,0.0001712
198.3716934,-23.3008106,-28.3847989,2.2119655,-0.1176754,8.4999637,-0.0002693
198.5716648,-23.4185152,-28.2231602,2.1884199,-0.1178657,8.4999573,-0.0004947
198.7716363,-23.5323816,-28.0587873,2.1648266,-0.1181326,8.4999457,-0.0003801
198.9716077,-23.6423406,-27.8917600,2.1411707,-0.1184569,8.4999368,0.0000221
199.1715792,-23.7483080,-27.7221813,2.1174444,-0.1188339,8.4999373,0.0002643
199.3715507,-23.8502033,-27.5501539,2.0936423,-0.1192453,8.4999435,-0.0000022
199.5715221,-23.9479714,-27.3757409,2.0697590,-0.1196407,8.4999434,-0.0003006
199.7714936,-24.0415442,-27.1990306,2.0457993,-0.1200023,8.4999364,-0.0003588
199.9714651,-24.1308554,-27.0201154,2.0217681,-0.1203423,8.4999279,-0.0002698
200.1714365,-24.2158410,-26.8390915,1.9976695,-0.1206584,8.4999216,-0.0001036
200.3714080,-24.2964391,-26.6560585,1.9735095,-0.1209400,8.4999191,0.0000398
200.5713795,-24.3725850,-26.4711351,1.9492984,-0.1211781,8.4999201,0.0000710
200.7713509,-24.4442090,-26.2844717,1.9250515,-0.1213629,8.4999218,-0.0000056
200.9713224,-24.5112865,-26.0961156,1.9007707,-0.1214988,8.4999216,-0.0000913
201.1712939,-24.5737718,-25.9061765,1.8764659,-0.1215879,8.4999195,-0.0000612
201.3712653,-24.6316238,-25.7147659,1.8521462,-0.1216344,8.4999180,0.0001752
201.5712368,-24.6848053,-25.5219975,1.8278200,-0.1216439,8.4999222,0.0005804
201.7712083,-24.7332837,-25.3279865,1.8034944,-0.1216243,8.4999358,0.0009277
201.9711797,-24.7770303,-25.1328490,1.7791746,-0.1215846,8.4999576,0.0009056
202.1711512,-24.8160204,-24.9367019,1.7548642,-0.1215314,8.4999789,0.0002982
202.3711227,-24.8502325,-24.7396630,1.7305661,-0.1214671,8.4999860,-0.0018472
202.5710941,-24.8796478,-24.5418593,1.7062839,-0.1213900,8.4999425,-0.0059804
202.7710656,-24.9042504,-24.3434285,1.6820256,-0.1212544,8.4998018,-0.0085649
202.9710370,-24.9240364,-24.1444541,1.6578020,-0.1210202,8.4996003,-0.0048759
203.1710085,-24.9390029,-23.9450545,1.6336366,-0.1206463,8.4994856,0.0080375
203.3709800,-24.9491556,-23.7453481,1.6095635,-0.1200540,8.4996747,0.0120071
203.5709514,-24.9545122,-23.5454523,1.5856402,-0.1191191,8.4999572,0.0002368
203.7709229,-24.9551067,-23.3454830,1.5619430,-0.1177587,8.4999627,0.0000663
203.9708944,-24.9509933,-23.1455532,1.5385721,-0.1157810,8.4999643,0.0000386
204.1708658,-24.9422536,-22.9457705,1.5156837,-0.1128452,8.4999652,0.0000223
204.3708373,-24.9290107,-22.7462345,1.4935142,-0.1084828,8.4999657,0.0000115
204.5708088,-24.9114467,-22.5470316,1.4724079,-0.1021078,8.4999660,0.0000043
204.7707802,-24.8898251,-22.3482280,1.4528224,-0.0932481,8.4999661,-0.0000006
204.9707517,-24.8645069,-22.1498623,1.4352551,-0.0820588,8.4999661,-0.0000036
205.1707232,-24.8359404,-21.9519407,1.4200661,-0.0697347,8.4999660,-0.0000053
205.3706946,-24.8046132,-21.7544408,1.4072961,-0.0580850,8.4999659,-0.0000059
205.5706661,-24.7709836,-21.5573240,1.3966501,-0.0485261,8.4999657,-0.0000057
205.7706376,-24.7354248,-21.3605334,1.3876443,-0.0416722,8.4999656,-0.0000048
205.9706090,-24.6982136,-21.1640454,1.3797691,-0.0372972,8.4999655,-0.0000034
206.1705805,-24.6595290,-20.9678476,1.3725546,-0.0350520,8.4999654,-0.0000015
206.3705520,-24.6194674,-20.7719370,1.3656548,-0.0341593,8.4999654,0.0000007
206.5705234,-24.5780652,-20.5763059,1.3588165,-0.0345260,8.4999654,0.0000031
206.7704949,-24.5353100,-20.3809655,1.3517683,-0.0361708,8.4999655,0.0000056
206.9704663,-24.4911417,-20.1859414,1.3443029,-0.0386935,8.4999656,0.0000083
207.1704378,-24.4454641,-19.9912640,1.3362539,-0.0419675,8.4999658,0.0000108
207.3704093,-24.3981531,-19.7969756,1.3274889,-0.0458199,8.4999661,0.0000127
207.5703807,-24.3490625,-19.6031270,1.3179041,-0.0501419,8.4999664,0.0000130
207.7703522,-24.2980296,-19.4097782,1.3074191,-0.0547724,8.4999667,0.0000097
207.9703237,-24.2448816,-19.2169977,1.2960007,-0.0594138,8.4999669,0.0000019
208.1702951,-24.1894474,-19.0248599,1.2836755,-0.0638125,8.4999669,-0.0000107
208.3702666,-24.1315672,-18.8334428,1.2705135,-0.0677755,8.4999667,-0.0000277
208.5702381,-24.0711013,-18.6428268,1.2566230,-0.0711069,8.4999660,-0.0000469
208.7702095,-24.0079405,-18.4531024,1.2421488,-0.0736098,8.4999649,-0.0000536
208.9701810,-23.9419981,-18.2643257,1.2272605,-0.0752007,8.4999637,-0.0000186
209.1701525,-23.8732282,-18.0765593,1.2121500,-0.0757862,8.4999632,0.0000191
209.3701239,-23.8016239,-17.8898541,1.1970259,-0.0752936,8.4999637,0.0000196
209.5700954,-23.7272197,-17.7042458,1.1821097,-0.0736831,8.4999641,0.0000192
209.7700669,-23.6500909,-17.5197518,1.1676209,-0.0710345,8.4999646,0.0000164
209.9700383,-23.5703507,-17.3363703,1.1537493,-0.0675344,8.4999650,0.0000131
210.1700098,-23.4881422,-17.1540808,1.1406473,-0.0633759,8.4999653,0.0000101
210.3699813,-23.4036305,-16.9728468,1.1284244,-0.0588059,8.4999655,0.0000076
210.5699527,-23.3169932,-16.7926185,1.1171342,-0.0541115,8.4999657,0.0000055
210.7699242,-23.2284103,-16.6133377,1.1067741,-0.0495621,8.4999658,0.0000039
210.9698956,-23.1380540,-16.4349437,1.0972909,-0.0453872,8.4999659,0.0000028
211.1698671,-23.0460809,-16.2573772,1.0885906,-0.0417610,8.4999660,0.0000021
211.3698386,-22.9526266,-16.0805854,1.0805502,-0.0388004,8.4999660,0.0000018
211.5698100,-22.8578015,-15.9045245,1.0730288,-0.0365714,8.4999661,0.0000019
211.7697815,-22.7616893,-15.7291625,1.0658766,-0.0350994,8.4999661,0.0000022
211.9697530,-22.6643463,-15.5544802,1.0589421,-0.0343792,8.4999662,0.0000027
212.1697244,-22.5658024,-15.3804722,1.0520774,-0.0343821,8.4999662,0.0000034
212.3696959,-22.4660620,-15.2071470,1.0451426,-0.0350607,8.4999663,0.0000043
212.5696674,-22.3651065,-15.0345266,1.0380087,-0.0363518,8.4999664,0.0000051
212.7696388,-22.2628968,-14.8626459,1.0305612,-0.0381779,8.4999665,0.0000056
212.9696103,-22.1593759,-14.6915518,1.0227023,-0.0404497,8.4999667,0.0000054
213.1695818,-22.0544730,-14.5213021,1.0143527,-0.0430711,8.4999668,0.0000040
213.3695532,-21.9481068,-14.3519637,1.0054528,-0.0459454,8.4999669,0.0000006
213.5695247,-21.8401909,-14.1836138,0.9959638,-0.0489606,8.4999669,-0.0000057
213.7694962,-21.7306316,-14.0163280,0.9858735,-0.0519511,8.4999668,-0.0000147
213.9694676,-21.6193410,-13.8501882,0.9752036,-0.0547474,8.4999664,-0.0000221
214.1694391,-21.5062394,-13.6852754,0.9640044,-0.0572317,8.4999659,-0.0000112
214.3694106,-21.3912592,-13.5216663,0.9523477,-0.0593069,8.4999656,0.0000073
214.5693820,-21.2743485,-13.3594305,0.9403250,-0.0608880,8.4999658,0.0000081
214.7693535,-21.1554726,-13.1986288,0.9280322,-0.0620149,8.4999660,0.0000086
214.9693250,-21.0346127,-13.0393124,0.9155495,-0.0627919,8.4999662,0.0000085
215.1692964,-20.9117627,-12.8815252,0.9029390,-0.0633008,8.4999664,0.0000080
215.3692679,-20.7869255,-12.7253050,0.8902464,-0.0636217,8.4999666,0.0000071
215.5692393,-20.6601112,-12.5706851,0.8775020,-0.0638263,8.4999668,0.0000060
215.7692108,-20.5313337,-12.4176961,0.8647234,-0.0639686,8.4999669,0.0000044
215.9691823,-20.4006096,-12.2663666,0.8519196,-0.0640823,8.4999670,0.0000022
216.1691537,-20.2679569,-12.1167246,0.8390944,-0.0641802,8.4999671,-0.0000009
216.3691252,-20.1333944,-11.9687971,0.8262518,-0.0642465,8.4999670,-0.0000052
216.5690967,-19.9969426,-11.8226104,0.8134024,-0.0642407,8.4999669,-0.0000107
216.7690681,-19.8586256,-11.6781901,0.8005655,-0.0640880,8.4999667,-0.0000162
216.9690396,-19.7184719,-11.5355560,0.7877867,-0.0636456,8.4999663,-0.0000142
217.1690111,-19.5765148,-11.3947167,0.7751297,-0.0628559,8.4999659,0.0000003
217.3689825,-19.4327992,-11.2556723,0.7626696,-0.0616559,8.4999660,0.0000090
217.5689540,-19.2873809,-11.1184098,0.7504935,-0.0600318,8.4999662,0.0000072
217.7689255,-19.1403259,-10.9829024,0.7386788,-0.0580608,8.4999663,0.0000059
217.9688969,-18.9917078,-10.8491111,0.7272868,-0.0558230,8.4999665,0.0000047
218.1688684,-18.8416058,-10.7169869,0.7163622,-0.0534105,8.4999666,0.0000035
218.3688399,-18.6901013,-10.5864732,0.7059298,-0.0509214,8.4999667,0.0000023
218.5688113,-18.5372757,-10.4575090,0.6959961,-0.0484401,8.4999667,0.0000011
218.7687828,-18.3832079,-10.3300312,0.6865525,-0.0460326,8.4999667,-0.0000002
218.9687543,-18.2279730,-10.2039772,0.6775790,-0.0437428,8.4999667,-0.0000017
219.1687257,-18.0716410,-10.0792861,0.6690496,-0.0415932,8.4999667,-0.0000030
219.3686972,-17.9142770,-9.9558998,0.6609351,-0.0395897,8.4999666,-0.0000015
219.5686686,-17.7559407,-9.8337635,0.6532068,-0.0377259,8.4999666,0.0000019
219.7686401,-17.5966869,-9.7128253,0.6458377,-0.0359932,8.4999666,0.0000019
219.9686116,-17.4365663,-9.5930367,0.6388013,-0.0343958,8.4999667,0.0000015
220.1685830,-17.2756247,-9.4743527,0.6320694,-0.0329442,8.4999667,0.0000011
220.3685545,-17.1139040,-9.3567320,0.6256119,-0.0316468,8.4999667,0.0000007
220.5685260,-16.9514412,-9.2401376,0.6193975,-0.0305111,8.4999668,0.0000002
220.7684974,-16.7882699,-9.1245376,0.6133946,-0.0295329,8.4999668,-0.0000006
220.9684689,-16.6244185,-9.0099042,0.6075735,-0.0286965,8.4999668,-0.0000015
221.1684404,-16.4599119,-8.8962135,0.6019075,-0.0279825,8.4999667,-0.0000021
221.3684118,-16.2947716,-8.7834456,0.5963742,-0.0273703,8.4999667,-0.0000004
221.5683833,-16.1290165,-8.6715836,0.5909549,-0.0268424,8.4999667,0.0000017
221.7683548,-15.9626633,-8.5606132,0.5856336,-0.0263945,8.4999667,0.0000015
221.9683262,-15.7957266,-8.4505226,0.5803929,-0.0260426,8.4999667,0.0000015
222.1682977,-15.6282186,-8.3413031,0.5752112,-0.0258100,8.4999668,0.0000015
222.3682692,-15.4601489,-8.2329498,0.5700624,-0.0257206,8.4999668,0.0000016
222.5682406,-15.2915238,-8.1254626,0.5649156,-0.0257947,8.4999668,0.0000017
222.7682121,-15.1223462,-8.0188468,0.5597367,-0.0260442,8.4999669,0.0000018
222.9681836,-14.9526153,-7.9131137,0.5544902,-0.0264694,8.4999669,0.0000018
223.1681550,-14.7823268,-7.8082807,0.5491420,-0.0270579,8.4999670,0.0000019
223.3681265,-14.6114733,-7.7043707,0.5436617,-0.0277834,8.4999670,0.0000017
223.5680979,-14.4400449,-7.6014115,0.5380254,-0.0286056,8.4999671,0.0000014
223.7680694,-14.2680300,-7.4994346,0.5322191,-0.0294707,8.4999671,0.0000005
