#x_m,y_m,w_tr
-0.177023,-0.090000,2.375442
-0.230374,-0.090000,2.357721
-0.283726,-0.090000,2.340000
-0.337077,-0.090000,2.357721
-0.388316,-0.084900,2.375442
-0.438709,-0.077758,2.357721
-0.489102,-0.070615,2.340000
-0.537828,-0.059449,2.338605
-0.585262,-0.045163,2.356326
-0.632696,-0.030877,2.374047
-0.680130,-0.016592,2.391768
-0.729677,-0.007406,2.319489
-0.780069,-0.000263,2.337210
-0.830462,0.006880,2.354931
-0.882521,0.010000,2.372652
-0.935873,0.010000,2.391768
-0.989224,0.010000,2.409489
-1.042576,0.010000,2.427210
-1.095927,0.010000,2.444931
-1.149278,0.010000,2.462652
-1.202630,0.010000,2.498652
-1.255981,0.010000,2.498652
-1.309333,0.010000,2.462652
-1.362684,0.010000,2.444931
-1.416036,0.010000,2.427210
-1.469387,0.010000,2.409489
-1.522738,0.010000,2.391768
-1.576090,0.010000,2.356326
-1.629441,0.010000,2.338605
-1.681000,0.014328,2.320884
-1.731393,0.021471,2.303163
-1.781785,0.028614,2.285442
-1.830831,0.039009,2.357721
-1.878265,0.053294,2.340000
-1.924939,0.069417,2.340000
-1.969414,0.090845,2.430000
-2.015508,0.108367,2.430000
-2.060535,0.128464,2.447721
-2.103329,0.153950,2.555442
-2.145239,0.181574,2.573163
-2.185977,0.210924,2.680884
-2.219855,0.246058,2.770884
-2.248308,0.283508,2.788605
-2.270881,0.327510,2.878605
-2.293454,0.371511,2.986326
-2.305624,0.415513,3.076326
-2.310462,0.460943,3.110372
-2.310462,0.508377,3.111768
-2.310462,0.555811,3.094047
-2.310462,0.603245,3.076326
-2.308896,0.651328,3.058605
-2.301941,0.701643,3.040884
-2.300000,0.754190,3.023163
-2.300000,0.807541,3.005442
-2.300000,0.860893,2.987721
-2.300000,0.914244,2.970000
-2.300000,0.967596,2.970000
-2.300000,1.020947,2.967209
-2.300000,1.074299,2.949489
-2.300000,1.127650,2.931768
-2.300000,1.181001,2.914047
-2.300000,1.234353,2.896326
-2.300000,1.287704,2.860884
-2.300000,1.341056,2.843163
-2.300000,1.394407,2.825442
-2.300000,1.447759,2.807721
-2.300000,1.501110,2.790000
-2.300000,1.554461,2.790000
-2.300000,1.607813,2.790000
-2.300000,1.661164,2.790000
-2.300000,1.714516,2.788605
-2.300000,1.767867,2.770884
-2.300000,1.821219,2.753163
-2.300000,1.874570,2.735442
-2.300000,1.927921,2.717721
-2.300000,1.981273,2.700000
-2.300000,2.034624,2.700000
-2.300000,2.087976,2.700000
-2.300000,2.141327,2.700000
-2.300000,2.194678,2.717721
-2.300000,2.248030,2.735442
-2.300000,2.301381,2.753163
-2.300000,2.354733,2.770884
-2.300000,2.408084,2.788605
-2.300000,2.461436,2.806326
-2.300000,2.514787,2.824047
-2.300000,2.568138,2.841768
-2.300000,2.621490,2.859489
-2.300000,2.674841,2.877209
-2.300000,2.728193,2.894930
-2.300000,2.781544,2.912651
-2.300000,2.834896,2.930372
-2.300000,2.888247,2.965815
-2.300000,2.941598,3.020094
-2.300000,2.994950,3.055815
-2.300000,3.048301,3.091814
-2.300000,3.101653,3.146093
-2.300000,3.155004,3.200372
-2.300000,3.208356,3.254651
-2.300000,3.261707,3.308930
-2.300000,3.315058,3.363209
-2.300000,3.368410,3.417488
-2.300000,3.421761,3.471767
-2.300000,3.475113,3.526046
-2.300000,3.528464,3.580325
-2.300000,3.581816,3.634604
-2.303558,3.633693,3.617721
-2.308896,3.683339,3.527721
-2.308825,3.730701,3.437721
-2.301131,3.770442,3.347721
-2.286118,3.803288,3.257721
-2.265715,3.833903,3.275442
-2.238115,3.857922,3.185442
-2.201284,3.880494,3.203163
-2.156061,3.900119,3.130884
-2.108627,3.914404,3.148605
-2.061193,3.928690,3.150000
-2.013457,3.942248,3.077721
-1.965271,3.954719,3.095442
-1.917837,3.969005,3.113163
-1.868455,3.978589,3.130884
-1.818063,3.985731,3.058605
-1.767670,3.992874,3.060000
-1.717277,4.000017,3.060000
-1.666884,4.007160,3.077721
-1.614709,4.010000,3.095442
-1.561358,4.010000,3.113163
-1.508007,4.010000,3.130884
-1.454655,4.010000,3.148605
-1.401304,4.010000,3.150000
-1.347952,4.010000,3.150000
-1.295247,4.011561,3.145814
-1.244775,4.018511,3.128093
-1.194382,4.025654,3.091814
-1.143989,4.032797,3.055815
-1.093597,4.039940,3.128093
-1.043204,4.047083,3.110372
-0.993433,4.055726,3.092651
-0.945247,4.068197,3.074930
-0.894934,4.075533,3.057209
-0.844541,4.082675,3.039489
-0.794148,4.089818,3.095442
-0.743756,4.096961,3.094047
-0.693363,4.104104,3.076326
-0.643085,4.111525,3.058605
-0.592797,4.118921,3.040884
-0.542405,4.126064,3.023163
-0.492012,4.133207,3.005442
-0.441619,4.140349,3.060000
-0.391797,4.148871,3.060000
-0.344208,4.162781,3.060000
-0.296037,4.175289,3.060000
-0.245645,4.182432,3.060000
-0.195252,4.189575,3.040884
-0.144859,4.196718,3.058605
-0.094466,4.203861,3.076326
-0.044189,4.211281,3.094047
0.006089,4.218702,3.111768
0.056482,4.225845,3.129489
0.106875,4.232988,3.147209
0.157267,4.240130,3.074930
0.207660,4.247273,3.092651
0.258053,4.254416,3.110372
0.308331,4.261837,3.128093
0.358683,4.269077,3.145814
0.409076,4.276220,3.150000
0.459469,4.283363,3.148605
0.509861,4.290505,3.074930
0.560254,4.297648,3.057209
0.610647,4.304791,3.039489
0.661841,4.310000,3.021768
0.715192,4.310000,3.004047
0.767347,4.312889,2.986326
0.817740,4.320032,2.968605
0.868132,4.327175,2.950884
0.918525,4.334317,2.933163
0.968918,4.341460,2.825442
1.018280,4.351093,2.807721
1.065714,4.365378,2.790000
1.114344,4.376775,2.807721
1.164737,4.383918,2.825442
1.215130,4.391061,2.753163
1.265523,4.398204,2.770884
1.315915,4.405347,2.788605
1.367339,4.410000,2.806326
1.420691,4.410000,2.824047
1.474042,4.410000,2.841768
1.527394,4.410000,2.877209
1.580745,4.410000,2.894930
1.634096,4.410000,2.912651
1.687448,4.410000,2.930372
1.738671,4.415137,2.948093
1.789064,4.422280,2.965815
1.839457,4.429423,3.020094
1.889850,4.436566,2.965815
1.940242,4.443708,3.020094
1.990635,4.450851,3.060000
2.041028,4.457994,3.060000
2.093549,4.460000,3.060000
2.146900,4.460000,3.060000
2.200251,4.460000,3.055815
2.253603,4.460000,3.038093
2.306954,4.460000,3.020372
2.359454,4.462057,3.002651
2.409846,4.469200,2.984930
2.460239,4.476342,2.967209
2.510226,4.484465,2.949489
2.557980,4.497978,3.021768
2.603503,4.516879,3.004047
2.647978,4.538308,3.076326
