#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
24.3658899,-1.8682281,1.2032619,1.6232784,-0.5105423,4.0531810,0.6076713
24.5656103,-1.8684917,1.4028524,1.5208780,-0.5149398,4.0830142,0.5660835
24.7653307,-1.8483250,1.6011089,1.4178857,-0.5197808,4.1106109,0.4726193
24.9650511,-1.8075473,1.7972358,1.3136028,-0.5220007,4.1335100,0.3384314
25.1647715,-1.7464208,1.9883904,1.2090770,-0.5169728,4.1498299,0.1456124
25.3644919,-1.6668326,2.1703066,1.1088907,-0.4800786,4.1568320,-0.2060925
25.5642123,-1.5697677,2.3458111,1.0307892,-0.2143378,4.1469182,-0.5492908
25.7639327,-1.4723766,2.5175850,1.1531702,1.8000320,4.1203788,0.9514580
25.9636532,-1.3886188,2.6954612,1.0727044,-0.5262661,4.1662420,2.0440531
26.1633736,-1.2839204,2.8667451,0.9726144,-0.4758018,4.2631034,2.1978301
26.3630940,-1.1641476,3.0263383,0.8827995,-0.4272635,4.3648544,2.0940262
26.5628144,-1.0306293,3.1755838,0.8001575,-0.3933390,4.4596405,2.0250514
26.7625348,-0.8857518,3.3137938,0.7247593,-0.3536219,4.5494265,2.1572235
26.9622552,-0.7315195,3.4413320,0.6587228,-0.3021503,4.6431632,2.5270674
27.1619756,-0.5699229,3.5592964,0.6044025,-0.2405218,4.7506187,3.0475654
27.3616960,-0.4029014,3.6693557,0.5630771,-0.1745232,4.8770586,3.7157034
27.5614164,-0.2325702,3.7732933,0.5348692,-0.1094800,5.0269179,4.2800448
27.7611368,-0.0598547,3.8735508,0.5189772,-0.0504021,5.1941822,4.7702929
27.9608572,0.1139919,3.9721239,0.5144775,0.0047614,5.3744747,4.6924516
28.1605776,0.2877779,4.0708775,0.5207891,0.0580764,5.5461099,4.0709485
28.3602981,0.4603398,4.1716058,0.5377106,0.1107647,5.6908205,2.9559804
28.5600185,0.6304698,4.2760241,0.5649821,0.1631585,5.7936325,-4.1007394
28.7597389,0.7972883,4.3860529,0.6030265,0.2190327,5.6505021,-3.7792887
28.9594593,0.9593614,4.5033585,0.6514266,0.2641844,5.5153035,-3.5158163
29.1591797,1.1150801,4.6291176,0.7086050,0.3056944,5.3864842,-3.3852212
29.3589001,1.2628405,4.7642333,0.7741267,0.3457942,5.2594692,-3.3673960
29.5586205,1.4009233,4.9093758,0.8477830,0.3851890,5.1300040,-3.4378090
29.7583409,1.5273092,5.0647431,0.9288716,0.4123805,4.9943708,-3.5003934
29.9580613,1.6393626,5.2285018,1.0139704,0.4602350,4.8523746,-2.6577938
30.1577817,1.7369928,5.4032824,1.1017656,0.0959803,4.7417200,-0.0517657
30.3575021,1.8346592,5.5746672,0.9690817,-0.8515484,4.7395391,1.4134335
30.5572226,1.9528476,5.7327893,0.9220221,0.1604371,4.7987305,1.6641510
30.7569430,2.0696008,5.8950615,0.9785767,0.3558827,4.8674987,1.6491351
30.9566634,2.1749209,6.0650465,1.0548123,0.3944546,4.9347012,1.5545182
31.1563838,2.2669105,6.2434330,1.1344654,0.3958102,4.9972206,1.4369536
31.3561042,2.3443494,6.4280713,1.2123357,0.3826122,5.0543240,1.3183833
31.5558246,2.4073983,6.6176879,1.2865039,0.3616694,5.1061539,1.2072439
31.7555450,2.4566018,6.8111750,1.3562749,0.3389723,5.1531573,1.1062105
31.9552654,2.4926636,7.0074793,1.4209585,0.3097501,5.1958537,1.2945099
32.1549858,2.5165942,7.2056179,1.4788451,0.2694044,5.2453766,1.8614214
32.3547062,2.5298945,7.4047605,1.5275117,0.2157690,5.3157787,2.6619140
32.5544266,2.5346259,7.6043266,1.5644992,0.1520028,5.4148666,3.4545112
32.7541471,2.5332777,7.8040238,1.5885157,0.0895131,5.5408170,4.1230862
32.9538675,2.5283349,8.0037723,1.6006925,0.0335407,5.6874935,3.6127082
33.1535879,2.5220304,8.2035990,1.6023262,-0.0156604,5.8129722,-2.1135507
33.3533083,2.5163203,8.4035590,1.5949790,-0.0571774,5.7398961,-6.1840342
