#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
26.5959197,17.7286596,12.3806844,2.3706686,0.0772871,8.4946063,-0.0269834
26.7958890,17.5841271,12.5188964,2.3866301,0.0828407,8.4939711,-0.0224520
26.9958584,17.4375214,12.6544731,2.4042206,0.0932054,8.4934425,-0.0178978
27.1958277,17.2883471,12.7873562,2.4238971,0.1035628,8.4930211,-0.0138480
27.3957970,17.1363629,12.9172092,2.4455077,0.1122506,8.4926950,-0.0104737
27.5957663,16.9814374,13.0436801,2.4686472,0.1186718,8.4924484,-0.0071258
27.7957356,16.8235225,13.1664688,2.4928566,0.1229122,8.4922806,-0.0034118
27.9957050,16.6626295,13.2853476,2.5177247,0.1253093,8.4922003,0.0006523
28.1956743,16.4988114,13.4001562,2.5429199,0.1262679,8.4922156,0.0048724
28.3956436,16.3321517,13.5107885,2.5681939,0.1261768,8.4923304,0.0089717
28.5956129,16.1627560,13.6171781,2.5933732,0.1253862,8.4925416,0.0126627
28.7955822,15.9907460,13.7192852,2.6183480,0.1241700,8.4928398,0.0156788
28.9955516,15.8162502,13.8170883,2.6430689,0.1229425,8.4932089,0.0177937
29.1955209,15.6394040,13.9105765,2.6673908,0.1194324,8.4936279,0.0188546
29.3954902,15.4604079,13.9997859,2.6910348,0.1177350,8.4940717,0.0187947
29.5954595,15.2793991,14.0847253,2.7147640,0.1207719,8.4945142,0.0176338
29.7954289,15.0963905,14.1652813,2.7391390,0.1219536,8.4949293,0.0154899
29.9953982,14.9114666,14.2413516,2.7635385,0.1222950,8.4952939,0.0126048
30.1953675,14.7247419,14.3128771,2.7880325,0.1226112,8.4955906,0.0093419
30.3953368,14.5363184,14.3798041,2.8125700,0.1228156,8.4958105,0.0060919
30.5953061,14.3463090,14.4420842,2.8371411,0.1229190,8.4959539,0.0031943
30.7952755,14.1548261,14.4996762,2.8617198,0.1228921,8.4960291,0.0009336
30.9952448,13.9619860,14.5525464,2.8862776,0.1227023,8.4960511,-0.0004325
31.1952141,13.7679066,14.6006704,2.9107776,0.1223027,8.4960409,-0.0006971
31.3951834,13.5727084,14.6440351,2.9351715,0.1216283,8.4960245,0.0001649
31.5951527,13.3765130,14.6826411,2.9593958,0.1205896,8.4960284,0.0018094
31.7951221,13.1794435,14.7165071,2.9833661,0.1190639,8.4960710,0.0035143
31.9950914,12.9816233,14.7456742,3.0069689,0.1168853,8.4961537,0.0045682
32.1950607,12.7831750,14.7702132,3.0300527,0.1138349,8.4962612,0.0047394
32.3950300,12.5842190,14.7902329,3.0524165,0.1096408,8.4963727,0.0042623
32.5949993,12.3848711,14.8058913,3.0738025,0.1040101,8.4964730,0.0034889
32.7949687,12.1852398,14.8174062,3.0939002,0.0967294,8.4965552,0.0026818
32.9949380,11.9854217,14.8250634,3.1123795,0.0878419,8.4966183,0.0019685
33.1949073,11.7854987,14.8292134,3.1289575,0.0777979,8.4966646,0.0014032
33.3948766,11.5855341,14.8302535,3.1434768,0.0673869,8.4966976,0.0009934
33.5948460,11.3855732,14.8285970,3.1559463,0.0574280,8.4967210,0.0006903
33.7948153,11.1856444,14.8246406,3.1665156,0.0484648,8.4967373,0.0004458
33.9947846,10.9857639,14.8187430,3.1754083,0.0406833,8.4967478,0.0002475
34.1947539,10.7859387,14.8112161,3.1828571,0.0340098,8.4967536,0.0000950
34.3947232,10.5861700,14.8023278,3.1890659,0.0282484,8.4967558,-0.0000179
34.5946926,10.3864554,14.7923094,3.1941954,0.0231766,8.4967554,-0.0001011
34.7946619,10.1867901,14.7813643,3.1983627,0.0185902,8.4967530,-0.0001636
34.9946312,9.9871673,14.7696764,3.2016475,0.0143172,8.4967492,-0.0002114
35.1946005,9.7875792,14.7574166,3.2040978,0.0102166,8.4967442,-0.0002469
35.3945698,9.5880169,14.7447490,3.2057363,0.0061724,8.4967384,-0.0002688
35.5945392,9.3884703,14.7318352,3.2065645,0.0020893,8.4967321,-0.0002720
35.7945085,9.1889292,14.7188381,3.2065665,-0.0021128,8.4967257,-0.0002464
35.9944778,8.9893821,14.7059254,3.2057116,-0.0064980,8.4967199,-0.0001753
36.1944471,8.7898181,14.6932723,3.2039579,-0.0111163,8.4967157,-0.0000322
36.3944165,8.5902252,14.6810630,3.2012542,-0.0160175,8.4967150,0.0002235
36.5943858,8.3905926,14.6694929,3.1975516,-0.0209411,8.4967202,0.0006458
36.7943551,8.1909213,14.6587588,3.1928855,-0.0258418,8.4967354,0.0012807
36.9943244,7.9911930,14.6490572,3.1871822,-0.0316976,8.4967656,0.0021363
37.1942937,7.7913834,14.6406248,3.1801203,-0.0387282,8.4968158,0.0031638
37.3942631,7.5915077,14.6337377,3.1717385,-0.0451849,8.4968903,0.0042309
37.5942324,7.3915809,14.6286588,3.1620139,-0.0520724,8.4969899,0.0050699
37.7942017,7.1916133,14.6256627,3.1509025,-0.0590467,8.4971092,0.0052861
37.9941710,6.9916285,14.6250283,3.1383947,-0.0660440,8.4972336,0.0043586
38.1941403,6.7916824,14.6270332,3.1245103,-0.0728421,8.4973362,0.0023286
38.3941097,6.5917797,14.6319480,3.1092985,-0.0792908,8.4973910,-0.0005271
38.5940790,6.3919725,14.6400296,3.0928397,-0.0852596,8.4973786,-0.0039400
38.7940483,6.1923263,14.6515149,3.0752385,-0.0906574,8.4972858,-0.0082411
38.9940176,5.9929168,14.6666166,3.0566155,-0.0954270,8.4970919,-0.0187436
39.1939869,5.7938291,14.6855201,3.0371005,-0.0995456,8.4966508,-0.0787556
39.3939563,5.5951561,14.7083825,3.0168289,-0.1029472,8.4947971,-0.3325294
39.5939256,5.3969968,14.7353297,2.9959460,-0.1057366,8.4869656,-0.8005473
39.7938949,5.1994546,14.7664606,2.9745385,-0.1084266,8.4680822,-1.2337840
39.9938642,5.0026394,14.8018676,2.9525494,-0.1116110,8.4388967,-1.3965136
40.1938336,4.8066706,14.8416588,2.9298601,-0.1153397,8.4057396,-1.3792881
40.3938029,4.6116794,14.8859581,2.9064057,-0.1192342,8.3728626,-1.2895245
40.5937722,4.4178074,14.9348907,2.8821841,-0.1230321,8.3420080,-1.1789168
40.7937415,4.2252046,14.9885737,2.8572314,-0.1265897,8.3136997,-1.0677185
40.9937108,4.0340270,15.0471092,2.8316037,-0.1298335,8.2879781,-0.9614516
41.1936802,3.8444312,15.1105835,2.8053689,-0.1327013,8.2647480,-0.8644383
41.3936495,3.6565382,15.1790777,2.7786017,-0.1350923,8.2438060,-0.7895877
41.5936188,3.4705681,15.2526153,2.7514061,-0.1369622,8.2246307,-0.7374452
41.7935881,3.2866886,15.3312098,2.7238946,-0.1382400,8.2066813,-0.7035854
41.9935574,3.1050624,15.4148460,2.6961935,-0.1388620,8.1895193,-0.6801738
42.1935268,2.9258434,15.5034785,2.6684428,-0.1387556,8.1728941,-0.6610429
42.3934961,2.7491231,15.5970573,2.6407905,-0.1378144,8.1567041,-0.6427578
42.5934654,2.5749847,15.6955004,2.6134038,-0.1359492,8.1409310,-0.6236173
42.7934347,2.4035765,15.7986436,2.5864779,-0.1331336,8.1255984,-0.6020179
42.9934040,2.2349805,15.9063073,2.5602078,-0.1293858,8.1107693,-0.5770490
43.1933734,2.0692511,16.0182777,2.5347762,-0.1248339,8.0965298,-0.5481473
43.3933427,1.9064096,16.1343175,2.5103234,-0.1197660,8.0829803,-0.5152465
43.5933120,1.7464409,16.2541842,2.4869066,-0.1146822,8.0702232,-0.4790987
43.7932813,1.5892959,16.3776590,2.4644510,-0.1102642,8.0583431,-0.4416320
43.9932507,1.4349073,16.5045772,2.4427081,-0.1074423,8.0473764,-0.4028421
44.1932200,1.2832644,16.6348322,2.4210685,-0.1102824,8.0373599,-0.3717098
44.3931893,1.1346629,16.7683396,2.3979136,-0.1190523,8.0281065,-0.3472827
