#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
324.3989518,51.3896673,0.3490869,3.8518137,-0.0769401,8.4999661,0.0000157
324.5989512,51.2370553,0.2198254,3.8370930,-0.0700359,8.4999664,0.0000114
324.7989506,51.0826463,0.0927112,3.8238382,-0.0623774,8.4999667,0.0000083
324.9989499,50.9266618,-0.0324683,3.8121540,-0.0544376,8.4999669,0.0000060
325.1989493,50.7693218,-0.1559428,3.8020514,-0.0466541,8.4999670,0.0000045
325.3989486,50.6108345,-0.2779438,3.7934638,-0.0393472,8.4999671,0.0000036
325.5989480,50.4513902,-0.3986932,3.7862752,-0.0326944,8.4999672,0.0000030
325.7989473,50.2911579,-0.5183969,3.7803463,-0.0267552,8.4999673,0.0000026
325.9989467,50.1302856,-0.6372408,3.7755348,-0.0215141,8.4999674,0.0000024
326.1989460,49.9689019,-0.7553909,3.7717056,-0.0169183,8.4999674,0.0000023
326.3989454,49.8071180,-0.8729938,3.7687361,-0.0129030,8.4999675,0.0000022
326.5989447,49.6450299,-0.9901783,3.7665166,-0.0094045,8.4999675,0.0000021
326.7989441,49.4827207,-1.1070573,3.7649497,-0.0063672,8.4999676,0.0000020
326.9989434,49.3202619,-1.2237292,3.7639479,-0.0037405,8.4999676,0.0000019
327.1989428,49.1577155,-1.3402789,3.7634336,-0.0014921,8.4999677,0.0000018
327.3989422,48.9951333,-1.4567799,3.7633330,0.0004319,8.4999677,0.0000016
327.5989415,48.8325624,-1.5732933,3.7635901,0.0020083,8.4999677,0.0000013
327.7989409,48.6700362,-1.6898727,3.7641248,0.0035970,8.4999678,0.0000009
327.9989402,48.5075896,-1.8065745,3.7650640,0.0053879,8.4999678,0.0000003
328.1989396,48.3452761,-1.9234409,3.7661818,0.0055431,8.4999678,-0.0000001
328.3989389,48.1831033,-2.0404762,3.7672310,0.0051345,8.4999678,-0.0000002
328.5989383,48.0210518,-2.1576797,3.7682785,0.0052972,8.4999678,-0.0000002
328.7989376,47.8591231,-2.2750551,3.7693380,0.0052754,8.4999678,-0.0000001
328.9989370,47.6973184,-2.3926010,3.7703818,0.0051405,8.4999678,-0.0000001
329.1989363,47.5356340,-2.5103132,3.7713876,0.0048990,8.4999678,-0.0000001
329.3989357,47.3740649,-2.6281836,3.7723358,0.0045675,8.4999678,-0.0000001
329.5989350,47.2126033,-2.7462014,3.7732099,0.0041597,8.4999678,-0.0000001
329.7989344,47.0512399,-2.8643533,3.7739957,0.0036875,8.4999678,-0.0000001
329.9989338,46.8899636,-2.9826240,3.7746816,0.0031615,8.4999678,-0.0000001
330.1989331,46.7287621,-3.1009966,3.7752576,0.0025905,8.4999678,-0.0000001
