#x_m,y_m,w_tr
19.269631,8.368029,1.540145
19.325208,8.295454,1.510511
19.377178,8.221385,1.540145
19.428432,8.147019,1.566795
19.479687,8.072654,1.540145
19.531052,7.998334,1.510511
19.590478,7.927353,1.540145
19.649903,7.856371,1.540145
19.709329,7.785390,1.540145
19.768038,7.714113,1.566795
19.827464,7.643131,1.540145
19.878718,7.568766,1.510511
19.929972,7.494400,1.540145
19.984611,7.428205,1.566795
20.039250,7.362011,1.540145
20.086027,7.292560,1.510511
20.140666,7.226365,1.540145
20.187857,7.157085,1.540145
20.242496,7.090891,1.540145
20.297135,7.024696,1.566795
20.343254,6.948203,1.483861
20.386337,6.870453,1.510511
20.437282,6.795959,1.457211
20.488536,6.721593,1.483861
20.547239,6.650312,1.540145
20.606664,6.579331,1.510511
20.657918,6.504966,1.566795
20.714308,6.432727,1.566795
20.773734,6.361746,1.510511
20.826790,6.288127,1.540145
20.878045,6.213761,1.566795
20.929299,6.139395,1.510511
20.976497,6.063349,1.510511
21.027751,5.988983,1.566795
21.079006,5.914618,1.483861
21.128517,5.839530,1.510511
21.177968,5.764417,1.483861
21.227893,5.689501,1.566795
21.270976,5.611750,1.510511
21.318115,5.535680,1.510511
21.369370,5.461314,1.566795
21.420624,5.386949,1.510511
21.466847,5.310499,1.510511
21.518101,5.236133,1.566795
21.570685,5.162318,1.483861
21.630111,5.091337,1.510511
21.686973,5.019294,1.566795
21.738227,4.944928,1.540145
21.789482,4.870563,1.540145
21.847511,4.799003,1.510511
21.906936,4.728022,1.483861
21.966362,4.657041,1.566795
22.019678,4.583529,1.540145
22.073496,4.510225,1.540145
22.132921,4.439244,1.540145
22.192347,4.368263,1.540145
22.251772,4.297282,1.566795
22.311198,4.226301,1.457211
22.362452,4.151935,1.540145
22.419815,4.080100,1.540145
22.482625,4.017290,1.540145
22.545436,3.954479,1.540145
22.600074,3.888285,1.540145
22.654713,3.822090,1.540145
22.712737,3.764067,1.540145
22.778931,3.709428,1.540145
22.845126,3.654789,1.540145
22.907936,3.591979,1.540145
22.970746,3.529169,1.540145
23.041727,3.469743,1.566795
23.112876,3.410723,1.540145
23.183857,3.351297,1.540145
23.254839,3.291872,1.540145
23.329204,3.240618,1.510511
23.403570,3.189363,1.540145
23.477936,3.138109,1.566795
23.552302,3.086855,1.540145
23.628751,3.040632,1.510511
23.703117,2.989377,1.566795
23.777483,2.938123,1.483861
23.849758,2.881821,1.510511
23.924124,2.830567,1.566795
23.999612,2.782023,1.566795
24.077362,2.738940,1.510511
24.152861,2.690420,1.510511
24.227391,2.639563,1.566795
24.305142,2.596480,1.510511
24.381598,2.550273,1.566795
24.459349,2.507190,1.510511
24.535976,2.461397,1.510511
24.614164,2.419370,1.510511
24.695299,2.384457,1.510511
24.776535,2.349790,1.510511
24.858552,2.317006,1.593445
24.943071,2.290265,1.510511
25.024916,2.257068,1.593445
25.110761,2.233527,1.510511
25.194844,2.205730,1.483435
25.277133,2.173604,1.593445
25.361386,2.146221,1.510511
25.442622,2.111554,1.593445
25.525356,2.080500,1.593445
25.609165,2.052045,1.510511
25.690401,2.017378,1.593445
25.773579,1.987396,1.593445
25.856944,1.957869,1.510511
25.939950,1.927473,1.593445
26.025973,1.904362,1.510511
26.108894,1.873763,1.593445
26.192344,1.844439,1.593445
26.278367,1.821328,1.510511
